"All Sectors Combined and Industry Group (ANZSIC06)(Base: June 2009 qtr (=1000)) (Qrtly-Mar/Jun/Sep/Dec)",""
"","All Labour Costs"
" ","All Industries Combined"
"1992Q4",697.471665
"1993Q1",696.774194
"1993Q2",698.169137
"1993Q3",700.261552
"1993Q4",701.656495
"1994Q1",706.538797
"1994Q2",709.328684
"1994Q3",712.118570
"1994Q4",713.513514
"1995Q1",719.093287
"1995Q2",723.278117
"1995Q3",727.462947
"1995Q4",732.345248
"1996Q1",735.135135
"1996Q2",740.714908
"1996Q3",744.899738
"1996Q4",749.782040
"1997Q1",755.361813
"1997Q2",759.546643
"1997Q3",763.731473
"1997Q4",765.823888
"1998Q1",765.823888
"1998Q2",769.311247
"1998Q3",771.403662
"1998Q4",772.798605
"1999Q1",772.798605
"1999Q2",772.798605
"1999Q3",".."
"1999Q4",".."
"2000Q1",".."
"2000Q2",785.353095
"2000Q3",".."
"2000Q4",".."
"2001Q1",".."
"2001Q2",800.000000
"2001Q3",".."
"2001Q4",".."
"2002Q1",".."
"2002Q2",814.400000
"2002Q3",".."
"2002Q4",".."
"2003Q1",".."
"2003Q2",832.000000
"2003Q3",".."
"2003Q4",".."
"2004Q1",".."
"2004Q2",847.200000
"2004Q3",".."
"2004Q4",".."
"2005Q1",".."
"2005Q2",870.400000
"2005Q3",".."
"2005Q4",".."
"2006Q1",".."
"2006Q2",901.600000
"2006Q3",".."
"2006Q4",".."
"2007Q1",".."
"2007Q2",938.400000
"2007Q3",".."
"2007Q4",".."
"2008Q1",".."
"2008Q2",972.800000
"2008Q3",".."
"2008Q4",".."
"2009Q1",".."
"2009Q2",1000.000000
"2009Q3",".."
"2009Q4",".."
"2010Q1",".."
"2010Q2",1013.000000
"2010Q3",".."
"2010Q4",".."
"2011Q1",".."
"2011Q2",1037.000000
"2011Q3",".."
"2011Q4",".."
"2012Q1",".."
"2012Q2",1064.000000
"2012Q3",".."
"2012Q4",".."
"2013Q1",".."
"2013Q2",1085.000000
"2013Q3",".."
"2013Q4",".."
"2014Q1",".."
"2014Q2",1104.000000
"2014Q3",".."
"2014Q4",".."
"2015Q1",".."
"2015Q2",1121.000000
"2015Q3",".."
"2015Q4",".."
"2016Q1",".."
"2016Q2",".."
"2016Q3",".."
"2016Q4",".."
"2017Q1",".."
"2017Q2",".."
"2017Q3",".."
"2017Q4",".."
"2018Q1",".."
"2018Q2",".."
"2018Q3",".."
"2018Q4",".."
"2019Q1",".."
"2019Q2",".."
"2019Q3",".."
"2019Q4",".."
"2020Q1",".."
"2020Q2",".."
"2020Q3",".."
"2020Q4",".."
"2021Q1",".."
"2021Q2",".."
"2021Q3",".."
"2021Q4",".."
"2022Q1",".."
"2022Q2",".."
"2022Q3",".."
"2022Q4",".."
"2023Q1",".."
"2023Q2",".."
"2023Q3",".."
"2023Q4",".."
"2024Q1",".."
"2024Q2",".."
"2024Q3",".."
"2024Q4",".."
"2025Q1",".."
"2025Q2",".."
"Table information:"
"Units:"
"Index, Magnitude = Units"
""
"Footnotes:"
"Base: June 2009 Quarter (=1000)"
"The measured sector (used in productivity statistics) is ANZSIC divisions A to K and P from 1978, and includes divisions LC (Business services) and Q (Personal and other community services) from 1996 onwards."
"The former measured sector (used in productivity statistics) is ANZSIC divisions A to K and P."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"LCI028AA"
""
"Last updated:"
"All Industries Combined: 06 August 2025 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
