"Sex and Age by variable (Monthly)","","","","","","","","","","","","","","","","","","","","","",""
"","Filled jobs","","","","","","","","","","","","","","","","","","","","",""
" ","Male","","","","","","","","","","","Female","","","","","","","","","",""
" ","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64",65,"15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64",65
" ","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual"
"2019M05","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"2022M09",67646,117283,137414,143729,127078,112482,106087,106700,94085,78608,62338,71557,109446,121429,130082,118584,112810,113989,118267,103221,83498,56535
"2022M10",70973,117008,137596,144563,127716,113240,106144,107212,94423,79223,63311,74419,109543,122143,131002,119147,113414,113885,118661,103643,84095,57083
"2022M11",75948,120297,138256,145239,128824,113995,106463,107501,94659,79570,64315,80465,113203,123157,132287,120098,114219,114176,119221,103597,84617,58154
"2022M12",82343,121432,136705,144247,128251,113504,105365,106466,93689,79208,64419,86000,114877,122039,130712,119097,113320,112945,118354,103002,84478,59362
"2023M01",75741,118068,135572,144890,129031,114348,105889,106733,93685,79365,61697,78619,109449,120227,129411,117657,111826,111574,116966,101568,83376,55027
"2023M02",73274,120276,137184,146499,130975,115601,106465,107100,94064,79771,64095,76363,112089,122240,132440,120938,114246,113369,118619,103131,84864,57395
"2023M03",70357,119097,138654,148429,132875,117307,107108,107831,94405,80293,65678,72993,111314,123798,134162,122519,115710,114000,119416,103754,85881,59214
"2023M04",71259,119466,140270,150810,134640,118700,107598,108059,94390,80458,65289,73361,110919,124806,135235,123339,116083,113586,119321,103607,85849,58976
"2023M05",68585,118256,140192,151560,135558,119380,107737,107830,94069,80373,65146,71107,109827,124517,135892,124401,116814,113736,119441,103480,86013,59301
"2023M06",67439,117094,139607,152070,136239,120091,107927,107869,93922,80704,65235,70073,108481,124026,136549,125183,117162,113706,119581,103539,86280,60010
"2023M07",67881,116640,139084,152474,136891,120529,107856,107403,93604,80628,64484,69908,107261,122911,136451,125102,116888,113007,118827,102876,86044,59070
"2023M08",65954,116081,138312,152789,137563,121126,107871,107278,93335,80465,65012,68527,106749,122322,136851,126088,117871,113466,118868,103017,86397,60233
"2023M09",65571,115460,137290,152408,137800,121328,107607,107079,93276,80535,65640,68503,106585,122313,137222,126751,118280,113506,118934,103269,86748,61066
"2023M10",67375,115952,137928,153335,138889,121907,107952,107349,93683,81033,67135,69912,107768,123780,138533,128126,119456,114250,119935,104422,87958,63074
"2023M11",70718,119047,138815,154586,140366,122872,108348,107597,93923,81234,67275,73786,110372,124212,139296,129030,119721,114051,119447,104009,87651,62603
"2023M12",74428,119840,137986,154203,140749,123074,108309,107460,94001,81246,67216,77511,111869,123044,138540,128627,119259,113711,119138,103946,87770,63648
"2024M01",69489,116402,135715,152546,139954,122486,107671,106803,93417,80941,64478,71384,107015,120882,136278,126600,117452,112114,117500,102458,86298,58757
"2024M02",66889,118039,136275,153320,140854,123478,107906,106905,93429,81154,66735,69051,109015,121750,137853,129190,119762,113296,118445,103232,87418,61456
"2024M03",64176,117804,137481,154691,142248,124683,108564,107253,93848,81537,67826,65458,108888,122783,139295,130939,121145,114143,119039,104080,88139,63045
"2024M04",64391,117105,137389,154629,142576,124793,108480,107031,93555,81534,66939,65235,108032,122245,139071,131073,121029,113574,118625,103837,87958,62419
"2024M05",61266,114994,135205,153304,142171,124448,108106,106707,93255,81016,66823,62756,106517,120626,138236,131139,121090,113413,118322,103632,87652,62762
"2024M06",59726,113034,133373,152060,141820,124232,107928,106281,93132,80987,66635,61701,104437,118706,136745,130962,121059,113239,118062,103376,87520,62972
"2024M07",59290,111842,131823,150837,141489,123836,107511,105713,92785,80605,65611,60766,103077,117308,136049,130309,120574,112461,117281,103073,87056,62102
"2024M08",57231,111222,130902,150308,141519,123616,107334,105402,92248,80337,66196,59720,103044,117354,136100,131268,121138,112979,117280,103157,87215,62869
"2024M09",57417,110678,129605,149143,141296,123347,107297,105266,92242,80448,66959,59754,102926,116582,135644,131531,121449,113005,117250,103363,87448,63498
"2024M10",59405,111101,129521,148872,141400,123284,107387,105262,92345,80738,67343,61283,103490,117014,135713,131615,121635,112978,117238,103492,87688,64076
"2024M11",62826,113955,130639,149694,142367,124147,107939,105683,92646,81135,68792,65845,106659,117763,135847,132584,122638,113682,117731,104225,88504,66139
"2024M12",67243,115751,130091,149161,142409,124099,107588,105239,92696,80868,68181,70411,108515,117307,134850,132178,121923,112879,116899,103611,87981,64654
"2025M01",61990,111930,127656,147212,141246,123313,107051,104505,92334,80197,65594,64262,103748,115103,132111,130044,119986,111393,115586,102368,86602,61140
"2025M02",60184,113407,128340,147901,142183,123889,107345,104512,92478,80166,67721,62312,105565,116288,133473,131955,121602,112385,116205,103190,87462,63491
"2025M03",57509,112706,129724,149121,143468,125053,107964,105036,92941,80442,69051,58708,104849,117460,134472,133653,123001,113400,116709,104060,87824,65131
"2025M04",57462,111962,129251,148795,143619,125255,108055,104862,92720,80332,68135,58684,103843,116876,133856,133700,122757,113174,116250,103805,87495,64726
"2025M05",54788,109906,127825,147446,143079,125015,107958,104490,92481,80165,68331,56606,102413,115661,133099,133842,123185,113350,116225,103695,87426,65082
"2025M06",53646,108662,127246,147143,143534,125342,108173,104764,92631,80339,68144,55293,100973,114614,133154,134133,123512,113659,116252,104054,87674,65954
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"MEI009AA"
""
"Last updated:"
"28 July 2025 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
