"Sex and Region by variable (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Filled jobs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Male","","","","","","","","","","","","","","","","Female","","","","","","","","","","","","","","",""
" ","Northland","Auckland","Waikato","Bay of Plenty","Gisborne","Hawke's Bay","Taranaki","Manawatu-Whanganui","Wellington","Tasman","Nelson","Marlborough","West Coast","Canterbury","Otago","Southland","Northland","Auckland","Waikato","Bay of Plenty","Gisborne","Hawke's Bay","Taranaki","Manawatu-Whanganui","Wellington","Tasman","Nelson","Marlborough","West Coast","Canterbury","Otago","Southland"
" ","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual"
"2021M07",34096,385110,109340,69477,11339,40381,27318,55239,123764,12351,10388,13655,7271,150303,54705,24280,36874,370749,105399,68479,11082,37991,26237,54844,127531,11938,10103,12602,7113,143600,54787,22883
"2021M08",34273,387256,109695,69700,11293,40010,27238,54984,124651,12296,10381,13749,7248,150671,54808,23898,37257,374492,106561,68978,11007,37883,26412,54967,128410,11990,10095,12574,7142,144531,55043,23200
"2021M09",34293,387540,110107,69938,11249,40048,27396,55117,124977,12337,10314,13762,7259,151418,54913,23807,37387,373678,106970,69148,11022,38023,26514,55004,128723,12060,10077,12563,7219,145364,55011,23200
"2021M10",34675,390248,111160,70687,11501,40586,27493,55803,125985,12412,10459,13706,7360,152841,55743,24297,37579,374791,107421,70059,11306,38407,26725,55636,129698,12140,10152,12689,7351,146866,55652,23531
"2021M11",35398,394778,112540,71880,11606,41325,28039,56526,127301,12637,10582,14034,7438,154374,56368,24647,38473,380713,109009,71348,11520,39119,27131,56546,131253,12421,10357,13006,7477,148800,56332,23892
"2021M12",35662,396965,113440,71901,11811,42392,28176,56998,127785,12907,10702,14087,7509,155826,57204,25339,38625,383121,109815,71154,11670,39941,27242,56818,131528,12588,10366,13133,7490,149691,56865,24388
"2022M01",34830,389618,111539,70555,11533,41726,27891,56184,125801,12786,10509,13868,7407,153072,56573,25146,37500,373257,106951,69012,11243,38690,26572,55565,128571,12151,10144,12700,7330,145320,55539,23841
"2022M02",34804,391263,112034,70570,11686,42094,27798,56196,126308,12864,10497,13920,7413,153660,56405,25468,37493,375936,107405,68994,11428,38986,26685,55658,129071,12129,10122,12723,7267,146151,55532,23951
"2022M03",34815,390455,111971,71293,11542,42472,27691,56034,126350,13195,10517,14094,7430,153725,56252,25053,37408,376317,107361,69500,11320,38914,26599,55381,128777,12151,10090,12646,7248,146103,55387,23513
"2022M04",35197,391469,112155,73037,11544,42974,27658,55965,126292,13354,10534,14075,7411,153873,55996,24666,37754,378026,107896,71101,11396,39025,26677,55350,129197,12170,10147,12583,7286,146625,55406,23403
"2022M05",35023,391069,112011,73513,11519,42666,27578,55770,126098,13393,10525,14001,7368,153621,55887,24515,37615,378388,108060,71338,11379,38878,26646,55341,129446,12157,10172,12523,7295,147031,55323,23363
"2022M06",34983,390877,112039,72535,11507,41911,27595,55982,126027,13086,10471,13941,7339,154108,56051,24360,37776,379773,108426,70621,11379,38955,26710,55698,129934,12213,10268,12577,7229,147888,55533,23343
"2022M07",34932,391527,112003,71717,11521,41145,27763,56101,126185,12996,10505,13913,7329,154387,56637,24151,37730,379923,108325,69922,11332,38782,26857,55667,129851,12247,10258,12612,7204,147983,56040,23165
"2022M08",34874,392160,112312,71534,11405,40793,27788,56194,126732,12833,10452,13917,7378,154813,56275,24291,38048,382264,109462,70291,11367,38822,26987,56102,131302,12231,10237,12655,7241,149451,56287,23615
"2022M09",34965,393351,112618,71703,11303,39963,27782,56219,126735,12465,10454,13906,7394,155636,56235,24417,38252,384379,109978,70683,11348,38912,27070,56120,131394,12241,10280,12827,7326,150565,56557,23788
"2022M10",35339,396157,113801,72098,11561,39922,27781,56804,127216,12569,10500,13557,7448,156962,57024,24787,38534,386844,110819,71111,11631,39070,27086,56726,131540,12404,10327,12866,7426,151846,57273,24067
"2022M11",35792,400457,114942,72411,11613,41524,28375,57152,128250,12944,10577,14196,7514,158341,57509,25112,39182,392789,112422,72238,11649,39816,27586,57075,132914,12681,10511,13133,7528,153647,57888,24413
"2022M12",35657,399831,114767,72331,11684,42835,28302,57073,127818,13178,10597,14405,7523,158161,57978,25384,39412,391622,112393,72412,11675,40313,27642,57193,132834,12870,10543,13133,7570,154050,58250,24680
"2023M01",35229,395356,113992,71193,11410,42421,28178,56693,126502,13157,10528,14253,7499,156722,58182,25445,38365,381482,109634,70686,11304,39072,27168,56088,129789,12513,10333,12891,7422,149844,57154,24190
"2023M02",35226,400342,114704,71467,11459,42763,28236,56776,127801,13308,10683,14298,7529,157850,58342,25627,38751,388564,111591,71844,11441,39522,27618,56969,132131,12750,10448,13129,7546,152557,58168,24629
"2023M03",35507,402793,114885,72162,11585,43636,28225,56698,128254,13840,10663,14835,7549,158193,58614,25494,39066,392034,112005,72462,11638,39680,27658,57008,132566,12912,10485,13280,7496,153361,58412,24471
"2023M04",35734,406850,115223,74861,11640,44079,28298,56640,128680,13881,10667,14861,7543,158524,58847,25416,39163,393102,112132,73817,11558,40007,27666,57023,132397,12840,10441,13295,7492,153157,58492,24290
"2023M05",35562,408400,115079,74438,11676,42996,28129,56442,128337,13552,10528,14595,7471,158478,58552,24967,38940,393906,112175,73490,11629,39761,27521,56958,132726,12721,10376,13118,7405,153194,58169,23971
"2023M06",35427,409282,115143,73803,11530,41983,28099,56683,128559,13257,10516,14622,7414,158703,58765,24818,38960,393922,112251,72748,11490,39764,27513,57174,132841,12741,10388,13113,7362,153507,58322,23950
"2023M07",35221,410382,114747,73712,11599,41603,28349,56616,128412,13202,10591,14775,7398,158120,58868,24406,38690,392705,111512,71947,11406,39323,27596,56860,132298,12643,10312,13048,7341,152289,58262,23551
"2023M08",35164,411149,114535,73690,11433,40879,28245,56359,127853,12968,10556,14720,7440,158372,58312,24467,38876,393436,111974,72124,11267,38974,27655,56835,132097,12597,10247,12993,7374,153083,58208,23927
"2023M09",35173,410722,114522,72981,11397,40420,28124,56475,127544,12844,10496,14601,7479,158936,57997,24676,38917,393531,112320,72068,11335,39104,27742,57056,132255,12688,10340,13084,7464,153970,58343,24201
"2023M10",35386,413816,115619,73306,11624,40635,28120,56950,128684,12721,10548,14235,7581,160383,58485,24965,39571,398151,113806,72915,11637,39657,27937,57788,133785,12757,10444,13267,7661,155811,58920,24358
"2023M11",35950,416368,116606,74323,11661,42451,28555,57211,129100,13101,10603,14904,7629,161772,59238,25505,39842,400315,114282,73822,11711,40059,28180,57789,134182,12902,10535,13402,7712,156749,59246,24543
"2023M12",35970,415780,116908,74192,12022,43739,28700,57603,129283,13417,10635,14944,7714,162314,59813,25951,40100,399766,114660,73972,11961,40726,28323,58106,134176,13102,10591,13474,7712,157161,59730,24757
"2024M01",35256,409054,115061,73056,11640,43095,28345,56811,127476,13200,10509,14509,7634,159716,59239,25752,38847,389509,111547,72178,11525,39449,27602,56884,131236,12761,10368,13146,7568,152758,58259,24279
"2024M02",35523,411041,115578,73082,11664,43619,28366,56638,127941,13357,10497,14497,7594,160508,59444,25675,39392,394331,113139,72617,11669,40173,27964,57146,132502,12856,10461,13269,7661,154796,59061,24392
"2024M03",35602,412513,115562,74506,11775,44749,28228,56660,127953,13810,10467,15066,7585,160653,59303,25521,39545,396564,113468,73953,11801,40499,27901,57317,132963,13008,10520,13411,7659,155652,59103,24362
"2024M04",35578,411412,115724,76240,11541,44569,28000,56338,127945,13854,10443,14742,7554,160028,59148,25265,39406,395028,113162,74575,11594,40226,27689,57139,132754,12864,10436,13273,7631,155074,58971,24086
"2024M05",35194,408678,114795,75160,11507,43077,27698,56029,127116,13397,10347,14572,7426,158844,58470,24841,39119,393261,112724,73638,11499,39677,27440,57014,132129,12722,10351,13121,7552,154465,58301,23819
"2024M06",34892,405972,114081,73833,11464,41800,27749,55988,126334,13001,10294,14661,7344,158442,58649,24605,38898,390967,111804,72104,11385,39473,27414,56886,131629,12648,10209,13100,7433,153733,58366,23485
"2024M07",34747,403221,113526,73086,11362,41218,27548,56162,125352,12856,10195,14678,7284,157485,58279,24457,38651,388041,111289,71276,11250,39099,27219,56622,130444,12461,10052,12941,7393,152715,58057,23329
"2024M08",34488,402121,113234,72937,11248,40250,27356,55505,125264,12799,10109,14574,7331,157312,57541,24241,38597,388542,111772,71444,11196,38674,27337,56563,130801,12368,10062,12899,7466,153433,58153,23487
"2024M09",34449,401310,112966,72312,11132,39641,27392,55323,124983,12580,10123,14223,7342,158085,57572,24291,38722,388161,111876,71588,11117,38737,27339,56445,130354,12413,10104,12821,7501,154029,58337,23592
"2024M10",34623,401899,113651,72472,11241,39606,27215,55759,124948,12486,10167,13852,7406,158959,58131,24503,38858,389131,112392,71938,11277,38936,27316,56753,130508,12518,10153,12847,7583,154450,58696,23662
"2024M11",35151,405126,114524,73174,11453,41329,27763,56113,125551,12920,10253,14584,7542,160357,59013,24982,39483,393935,113400,72733,11452,39631,27843,57178,131950,12816,10313,13115,7709,156935,59667,24137
"2024M12",35246,404596,115140,73137,11482,42713,28006,56276,125484,13225,10312,14816,7504,160562,59527,25505,39570,392370,113690,72771,11548,40012,27920,57154,131763,12925,10275,13260,7705,156678,59937,24409
"2025M01",34512,397517,113240,71669,11325,41818,27580,55469,123238,13071,10160,14217,7448,157972,58711,25299,38342,383034,110975,70897,11279,38888,27166,56064,128474,12633,10032,12935,7575,152519,58480,23863
"2025M02",34706,398982,113785,71640,11346,42694,27646,55464,123884,13110,10178,14258,7477,158808,58803,25417,38706,387069,112055,71467,11291,39643,27413,56267,129615,12690,10168,13127,7615,154361,58982,24140
"2025M03",34752,400005,113842,73610,11390,43663,27472,55327,123823,13737,10195,14819,7447,158942,58694,25297,38936,389143,112370,72902,11351,39794,27371,56115,129987,12832,10115,13389,7624,154856,59079,24048
"2025M04",34723,399567,113730,74696,11212,43303,27278,54891,123217,13749,10134,14700,7450,158445,58456,25026,38844,387614,112064,73110,11211,39353,27256,56069,129618,12727,10050,13268,7592,154225,58928,23921
"2025M05",34467,397285,113078,73715,11245,41664,27102,54688,122741,13345,9989,14552,7391,157537,57900,24816,38538,386716,111575,72478,11273,39087,27216,55873,129400,12590,9980,13057,7483,153661,58423,23794
"2025M06",34280,395686,113406,73397,11195,40931,27136,54734,122583,12935,9997,14694,7393,158134,58352,24803,38572,385301,111835,71993,11203,38951,27229,55850,129160,12504,10113,13032,7559,154060,58618,23780
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"MEI008AA"
""
"Last updated:"
"28 July 2025 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
