"Average Hourly Earnings by Sector and Sex: Percentage Change (Qrtly-Mar/Jun/Sep/Dec)","","","",""
"","Private Sector","","Total All Sectors",""
" ","Total Both Sexes","","Total Both Sexes",""
" ","Ordinary Time Hourly","","Ordinary Time Hourly",""
" ","Percentage change from same period previous year","Percentage change from previous period","Percentage change from same period previous year","Percentage change from previous period"
"2022Q1",5.3,1.9,4.8,1.6
"2022Q2",7.0,2.3,6.4,2.2
"2022Q3",8.6,2.6,7.4,2.4
"2022Q4",8.1,0.9,7.2,0.9
"2023Q1",8.2,2.1,7.6,1.9
"2023Q2",7.7,1.9,6.9,1.5
"2023Q3",7.1,2.0,6.7,2.2
"2023Q4",6.6,0.5,6.9,1.1
"2024Q1",4.8,0.3,5.2,0.3
"2024Q2",4.0,1.1,5.0,1.4
"2024Q3",3.2,1.2,3.9,1.1
"2024Q4",4.0,1.3,4.2,1.4
"2025Q1",3.8,0.2,4.5,0.5
"2025Q2",4.6,1.9,4.5,1.4
"Table information:"
"Units:"
"Percent, Magnitude = Units"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"QEM001AA"
""
"Last updated:"
"06 August 2025 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
