"Industry by variable (Monthly)","","","","","","","","","","","","","","","","","","",""
"","Filled jobs","","","","","","","","","","","","","","","","","",""
" ","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services"
" ","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual"
"2023M02",103333,5810,240868,22997,205037,117976,217936,156400,93982,32873,70208,38042,195176,106154,156915,196429,266074,41134,80416
"2023M03",102991,5845,241178,23020,206145,117432,215737,158518,94601,32948,70499,38357,194761,112761,157275,202934,265773,41638,80518
"2023M04",101759,5877,242214,22792,208684,117715,217064,158526,96511,32926,70777,38077,193875,117097,158325,202367,267497,41583,80780
"2023M05",97917,5977,239600,22599,207701,117310,216847,158265,97975,33032,71177,38135,193717,114441,159259,206550,267494,41454,81191
"2023M06",95451,5957,239816,22740,208081,117529,219134,157124,98463,33164,71315,38249,193462,108859,158819,209525,268287,44150,81175
"2023M07",96245,5945,239239,22837,208376,117950,218054,157862,97811,33082,71239,37920,192425,105358,159689,204716,269324,45883,81534
"2023M08",97207,5931,235714,22881,207566,117083,216786,158851,98125,33229,71566,37788,190955,104402,161175,209067,269838,45827,81884
"2023M09",96631,5904,234748,22970,208134,117367,217395,159326,98644,33247,71606,37957,190985,103319,161804,210098,271367,45475,82230
"2023M10",100158,5934,235134,23245,208669,117859,220005,160327,99159,33541,71763,38217,190669,101991,175713,209487,272823,45280,82999
"2023M11",108107,5923,238464,23609,210182,119336,224761,161600,100531,34057,72380,38826,191658,104594,164465,209184,275682,45406,83785
"2023M12",111116,5890,240671,23662,209554,120000,227103,162342,100924,33957,72243,39221,191662,104146,163638,209821,275537,45726,84035
"2024M01",109335,5884,237575,23638,205315,118472,220009,158164,100103,33681,71483,38662,189692,100672,162865,196092,273633,44637,82577
"2024M02",105646,5939,238331,23689,208018,119039,216724,160275,100493,33957,71966,39129,191588,103000,163886,202658,277972,45114,83672
"2024M03",103749,6017,238189,23774,207572,119192,214842,159951,101032,33792,72125,39106,191054,110404,164089,211783,278543,45169,83907
"2024M04",101618,6045,237970,23895,207010,119199,215273,157969,101647,33020,72600,38494,190820,112363,163483,208559,280816,44905,83642
"2024M05",96763,6057,235212,23828,205151,118555,213507,156812,100814,32443,72045,38282,190321,108754,163071,210453,280200,44561,83399
"2024M06",94347,6075,235383,23901,203647,117604,213728,153851,99628,32248,72056,38028,189201,102907,162467,211017,280167,45544,83076
"2024M07",95574,6096,233908,23936,201774,117242,212709,151698,98685,32507,72305,37190,188021,98615,161839,207630,279768,46228,82842
"2024M08",96453,6013,228953,23919,199353,116754,211642,154643,99127,32156,72137,37364,187470,97242,161613,211610,279524,46593,82796
"2024M09",95999,5909,227696,23833,198355,116498,212551,153134,99075,32213,71819,37816,186947,96689,161658,213297,280451,46597,83020
"2024M10",101109,5910,228398,24082,198058,116566,214412,154537,99227,31340,71977,37912,186424,95819,161743,213036,281156,46415,83032
"2024M11",106776,6069,231640,24328,198719,117143,218914,158556,99951,31145,72181,38188,187089,97506,163034,216307,281952,46747,83401
"2024M12",110203,6074,234164,24461,197256,118025,222299,160197,100079,31074,72404,38506,186953,96973,162660,210973,280790,47039,83393
"2025M01",107416,6038,230549,24251,192533,116061,216154,156194,99017,30971,71939,37947,184179,93541,161591,200041,278404,45589,81770
"2025M02",105037,6164,231921,24317,195019,116488,212885,158145,99318,30997,72360,38016,186167,96663,162370,204513,281316,46061,82846
"2025M03",103672,6175,232155,24187,195154,116629,210489,157750,99944,30827,72713,38191,185297,103539,162491,211133,281694,46310,83054
"2025M04",101304,6177,232167,23995,194090,116492,211106,155245,99703,30627,72429,37689,184854,105089,162195,210581,282287,45948,82833
"2025M05",97085,6203,229436,23935,192680,115806,210243,153091,98919,30398,72281,37530,184401,102793,161847,213011,282436,45587,82594
"2025M06",95745,6346,229533,24075,191478,115839,211219,151269,98794,30249,72711,37181,184051,98047,162472,215306,284171,46087,82449
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"MEI006AA"
""
"Last updated:"
"28 July 2025 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
