"Labour Force Status by Age Group by Region Council (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","",""
"","Aged 15-24 Years","","","Aged 25-54 Years","","","Aged 55 Years and Over","","","Total All Ages","",""
" ","Auckland","Wellington","Canterbury","Auckland","Wellington","Canterbury","Auckland","Wellington","Canterbury","Auckland","Wellington","Canterbury"
" ","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate"
"2022Q3",9.4,6.3,8.5,2.5,2.5,2.1,1.5,1.7,1.4,3.3,2.9,2.9
"2022Q4",10.8,8.7,9.2,2.1,1.6,2.2,2.3,1.5,1.5,3.5,2.8,3.1
"2023Q1",8.7,10.2,9.7,2.6,1.9,2.1,2.2,1.9,2.3,3.4,3.5,3.3
"2023Q2",9.2,7.4,7.2,2.9,2.0,2.2,2.3,1.3,1.8,3.6,2.8,2.8
"2023Q3",11.3,7.5,12.9,2.9,1.8,2.3,2.7,2.2,2.5,4.0,2.9,4.0
"2023Q4",11.9,10.3,11.9,3.0,2.1,2.6,2.9,1.5,0.9,4.2,3.3,3.6
"2024Q1",15.6,16.2,15.7,3.2,2.4,2.8,2.7,2.4,2.0,4.8,4.7,4.6
"2024Q2",13.5,14.3,13.3,3.3,2.6,2.7,3.3,2.3,2.3,4.6,4.3,4.2
"2024Q3",15.3,11.9,12.0,3.8,3.0,4.0,3.5,2.4,2.4,5.2,4.2,4.8
"2024Q4",16.3,12.5,15.6,4.1,3.5,2.9,2.2,3.1,2.3,5.4,4.9,4.7
"2025Q1",17.8,15.1,17.0,5.0,3.7,3.2,3.5,1.5,1.6,6.5,5.2,4.9
"2025Q2",17.6,9.0,16.5,4.8,3.5,3.1,2.9,2.5,2.7,6.1,4.2,5.0
"Table information:"
"Units:"
"Unemployment Rate: Percent, Magnitude = Units"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"HLF205AA"
""
"Last updated:"
"Unemployment Rate: 06 August 2025 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
